album_id,album_type,total_tracks,name,release_date,market,artist_id,artist_name,extraction_time
0aX0UXrHG2ceYIxTQcqJdA,album,18,Cosa Nuestra,2024-11-15,BR,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,2025-10-15 00:19:26
07w0rG5TETcyihsEIZR3qG,album,23,SOS,2022-12-09,BR,7tYKF4w9nC0nq9CsPZTHyP,SZA,2025-10-15 00:19:26
2ODvWsOgouMbaA5xf0RkJe,album,18,Starboy,2016-11-25,BR,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,2025-10-15 00:19:26
27GWSFRITD8JJcSGMgEfTN,album,21,INCÓMODO,2024-08-22,BR,5eumcnUkdmGvkvcsx1WFNG,Tito Double P,2025-10-15 00:19:26
1JpJzuM4uncCfCimVozkmy,album,12,111XPANTIA,2025-05-02,BR,0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,2025-10-15 00:19:26
3iPSVi54hsacKKl1xIR2eH,album,12,Short n' Sweet,2024-08-23,BR,74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,2025-10-15 00:19:26
03guxdOi12XJbnvxvxbpwG,album,14,Submarine,2024-05-31,BR,2sSGPbdZJkaSE2AbcGOACx,The Marías,2025-10-15 00:19:26
0S0KGZnfBGSIssfF54WSJh,album,14,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,BR,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,2025-10-15 00:19:26
338NDGMHtB4t5mp8RhMnh3,album,21,Mi Vida Mi Muerte,2025-02-14,BR,6pV5zH2LzjOUHaAvENdMMa,Neton Vega,2025-10-15 00:19:26
5chTLnnxlxQVAgEv6YbEBe,album,10,Cigarettes After Sex,2017-06-09,BR,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,2025-10-15 00:19:26
1eCGY9WJpYgtaFh1Lk2KNo,album,11,"You'll Be Alright, Kid (Chapter 1)",2024-09-26,BR,0fTSzq9jAh4c36UVb4V7CB,Alex Warren,2025-10-15 00:19:26
